ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU2,3640,SYSTEM12U.TXT,0.16940,0.11111,0.13420,1
ROUGE-SU2,3640,SYSTEM123.TXT,0.16940,0.11111,0.13420,1
ROUGE-SU2,3640,SYSTEM23U.TXT,0.16940,0.11111,0.13420,1
ROUGE-SU2,3640,SYSTEM123U.TXT,0.16940,0.11111,0.13420,1
ROUGE-SU2,3640,SYSTEM12.TXT,0.16940,0.11111,0.13420,1
ROUGE-SU2,3640,SYSTEM2.TXT,0.16940,0.11111,0.13420,1
ROUGE-SU2,3640,SYSTEM1.TXT,0.39344,0.34286,0.36641,1
ROUGE-SU2,3640,SYSTEM13.TXT,0.39344,0.34286,0.36641,1
ROUGE-SU2,3640,SYSTEM23.TXT,0.16940,0.11111,0.13420,1
ROUGE-SU2,3640,SYSTEM3.TXT,0.73224,0.21578,0.33333,1
ROUGE-SU2,3640,SYSTEM13U.TXT,0.39344,0.34286,0.36641,1

ROUGE-SU2,2306,SYSTEM23U.TXT,0.13228,0.10684,0.11820,1
ROUGE-SU2,2306,SYSTEM13.TXT,0.18519,0.10903,0.13725,1
ROUGE-SU2,2306,SYSTEM13U.TXT,0.18519,0.10903,0.13725,1
ROUGE-SU2,2306,SYSTEM123U.TXT,0.13228,0.10684,0.11820,1
ROUGE-SU2,2306,SYSTEM23.TXT,0.13757,0.11556,0.12560,1
ROUGE-SU2,2306,SYSTEM123.TXT,0.13757,0.11556,0.12560,1
ROUGE-SU2,2306,SYSTEM2.TXT,0.13757,0.11556,0.12560,1
ROUGE-SU2,2306,SYSTEM12.TXT,0.13757,0.11556,0.12560,1
ROUGE-SU2,2306,SYSTEM12U.TXT,0.13228,0.10684,0.11820,1
ROUGE-SU2,2306,SYSTEM1.TXT,0.18519,0.10903,0.13725,1
ROUGE-SU2,2306,SYSTEM3.TXT,0.22222,0.11200,0.14894,1

ROUGE-SU2,3638,SYSTEM12U.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM13.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM1.TXT,0.41808,0.22840,0.29541,1
ROUGE-SU2,3638,SYSTEM23U.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM12.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM2.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM23.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM13U.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM3.TXT,0.32203,0.18812,0.23750,1
ROUGE-SU2,3638,SYSTEM123U.TXT,0.62712,0.34906,0.44848,1
ROUGE-SU2,3638,SYSTEM123.TXT,0.62712,0.34906,0.44848,1

ROUGE-SU2,3639,SYSTEM13U.TXT,0.26554,0.18217,0.21609,1
ROUGE-SU2,3639,SYSTEM1.TXT,0.15819,0.12785,0.14141,1
ROUGE-SU2,3639,SYSTEM12.TXT,0.15819,0.12785,0.14141,1
ROUGE-SU2,3639,SYSTEM123U.TXT,0.26554,0.18217,0.21609,1
ROUGE-SU2,3639,SYSTEM13.TXT,0.15819,0.12785,0.14141,1
ROUGE-SU2,3639,SYSTEM2.TXT,0.23729,0.12613,0.16471,1
ROUGE-SU2,3639,SYSTEM123.TXT,0.26554,0.18217,0.21609,1
ROUGE-SU2,3639,SYSTEM23U.TXT,0.26554,0.18217,0.21609,1
ROUGE-SU2,3639,SYSTEM3.TXT,0.54802,0.24682,0.34035,1
ROUGE-SU2,3639,SYSTEM23.TXT,0.26554,0.18217,0.21609,1
ROUGE-SU2,3639,SYSTEM12U.TXT,0.15819,0.12785,0.14141,1

ROUGE-SU2,2305,SYSTEM13U.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM123.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM3.TXT,0.33889,0.11172,0.16804,1
ROUGE-SU2,2305,SYSTEM12U.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM1.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM23.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM123U.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM2.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM13.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM23U.TXT,0.33333,0.14184,0.19900,1
ROUGE-SU2,2305,SYSTEM12.TXT,0.33333,0.14184,0.19900,1

ROUGE-SU2,2304,SYSTEM12U.TXT,0.43275,0.28682,0.34499,1
ROUGE-SU2,2304,SYSTEM23U.TXT,0.43275,0.28682,0.34499,1
ROUGE-SU2,2304,SYSTEM1.TXT,0.43275,0.28682,0.34499,1
ROUGE-SU2,2304,SYSTEM2.TXT,0.29240,0.21645,0.24876,1
ROUGE-SU2,2304,SYSTEM123.TXT,0.43275,0.28682,0.34499,1
ROUGE-SU2,2304,SYSTEM3.TXT,0.44444,0.22419,0.29804,1
ROUGE-SU2,2304,SYSTEM12.TXT,0.43275,0.28682,0.34499,1
ROUGE-SU2,2304,SYSTEM13U.TXT,0.43275,0.28682,0.34499,1
ROUGE-SU2,2304,SYSTEM23.TXT,0.29240,0.21645,0.24876,1
ROUGE-SU2,2304,SYSTEM13.TXT,0.43275,0.28682,0.34499,1
ROUGE-SU2,2304,SYSTEM123U.TXT,0.43275,0.28682,0.34499,1

ROUGE-SU2,2303,SYSTEM123U.TXT,0.57062,0.48095,0.52196,1
ROUGE-SU2,2303,SYSTEM3.TXT,0.81921,0.38360,0.52252,1
