ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,3640,SYSTEM12U.TXT,0.09434,0.07143,0.08130,1
ROUGE-L,3640,SYSTEM123.TXT,0.09434,0.07143,0.08130,1
ROUGE-L,3640,SYSTEM23U.TXT,0.09434,0.07143,0.08130,1
ROUGE-L,3640,SYSTEM123U.TXT,0.09434,0.07143,0.08130,1
ROUGE-L,3640,SYSTEM12.TXT,0.09434,0.07143,0.08130,1
ROUGE-L,3640,SYSTEM2.TXT,0.09434,0.07143,0.08130,1
ROUGE-L,3640,SYSTEM1.TXT,0.05660,0.05769,0.05714,1
ROUGE-L,3640,SYSTEM13.TXT,0.05660,0.05769,0.05714,1
ROUGE-L,3640,SYSTEM23.TXT,0.09434,0.07143,0.08130,1
ROUGE-L,3640,SYSTEM3.TXT,0.45283,0.18898,0.26667,1
ROUGE-L,3640,SYSTEM13U.TXT,0.05660,0.05769,0.05714,1

ROUGE-L,2306,SYSTEM23U.TXT,0.09804,0.08065,0.08850,1
ROUGE-L,2306,SYSTEM13.TXT,0.17647,0.10588,0.13235,1
ROUGE-L,2306,SYSTEM13U.TXT,0.17647,0.10588,0.13235,1
ROUGE-L,2306,SYSTEM123U.TXT,0.09804,0.08065,0.08850,1
ROUGE-L,2306,SYSTEM23.TXT,0.15686,0.13115,0.14286,1
ROUGE-L,2306,SYSTEM123.TXT,0.15686,0.13115,0.14286,1
ROUGE-L,2306,SYSTEM2.TXT,0.15686,0.13115,0.14286,1
ROUGE-L,2306,SYSTEM12.TXT,0.15686,0.13115,0.14286,1
ROUGE-L,2306,SYSTEM12U.TXT,0.09804,0.08065,0.08850,1
ROUGE-L,2306,SYSTEM1.TXT,0.17647,0.10588,0.13235,1
ROUGE-L,2306,SYSTEM3.TXT,0.23529,0.13043,0.16783,1

ROUGE-L,3638,SYSTEM12U.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM13.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM1.TXT,0.17308,0.11688,0.13953,1
ROUGE-L,3638,SYSTEM23U.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM12.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM2.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM23.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM13U.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM3.TXT,0.21154,0.14865,0.17460,1
ROUGE-L,3638,SYSTEM123U.TXT,0.21154,0.13580,0.16541,1
ROUGE-L,3638,SYSTEM123.TXT,0.21154,0.13580,0.16541,1

ROUGE-L,3639,SYSTEM13U.TXT,0.11321,0.08824,0.09917,1
ROUGE-L,3639,SYSTEM1.TXT,0.15094,0.12698,0.13793,1
ROUGE-L,3639,SYSTEM12.TXT,0.15094,0.12698,0.13793,1
ROUGE-L,3639,SYSTEM123U.TXT,0.11321,0.08824,0.09917,1
ROUGE-L,3639,SYSTEM13.TXT,0.15094,0.12698,0.13793,1
ROUGE-L,3639,SYSTEM2.TXT,0.18868,0.11765,0.14493,1
ROUGE-L,3639,SYSTEM123.TXT,0.11321,0.08824,0.09917,1
ROUGE-L,3639,SYSTEM23U.TXT,0.11321,0.08824,0.09917,1
ROUGE-L,3639,SYSTEM3.TXT,0.47170,0.24752,0.32468,1
ROUGE-L,3639,SYSTEM23.TXT,0.11321,0.08824,0.09917,1
ROUGE-L,3639,SYSTEM12U.TXT,0.15094,0.12698,0.13793,1

ROUGE-L,2305,SYSTEM13U.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM123.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM3.TXT,0.08511,0.03390,0.04848,1
ROUGE-L,2305,SYSTEM12U.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM1.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM23.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM123U.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM2.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM13.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM23U.TXT,0.06383,0.03333,0.04380,1
ROUGE-L,2305,SYSTEM12.TXT,0.06383,0.03333,0.04380,1

ROUGE-L,2304,SYSTEM12U.TXT,0.09756,0.07143,0.08247,1
ROUGE-L,2304,SYSTEM23U.TXT,0.09756,0.07143,0.08247,1
ROUGE-L,2304,SYSTEM1.TXT,0.09756,0.07143,0.08247,1
