ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-S1,3640,SYSTEM12U.TXT,0.08197,0.05376,0.06494,1
ROUGE-S1,3640,SYSTEM123.TXT,0.08197,0.05376,0.06494,1
ROUGE-S1,3640,SYSTEM23U.TXT,0.08197,0.05376,0.06494,1
ROUGE-S1,3640,SYSTEM123U.TXT,0.08197,0.05376,0.06494,1
ROUGE-S1,3640,SYSTEM12.TXT,0.08197,0.05376,0.06494,1
ROUGE-S1,3640,SYSTEM2.TXT,0.08197,0.05376,0.06494,1
ROUGE-S1,3640,SYSTEM1.TXT,0.31148,0.27143,0.29008,1
ROUGE-S1,3640,SYSTEM13.TXT,0.31148,0.27143,0.29008,1
ROUGE-S1,3640,SYSTEM23.TXT,0.08197,0.05376,0.06494,1
ROUGE-S1,3640,SYSTEM3.TXT,0.68852,0.20290,0.31343,1
ROUGE-S1,3640,SYSTEM13U.TXT,0.31148,0.27143,0.29008,1

ROUGE-S1,2306,SYSTEM23U.TXT,0.07937,0.06410,0.07092,1
ROUGE-S1,2306,SYSTEM13.TXT,0.07937,0.04673,0.05882,1
ROUGE-S1,2306,SYSTEM13U.TXT,0.07937,0.04673,0.05882,1
ROUGE-S1,2306,SYSTEM123U.TXT,0.07937,0.06410,0.07092,1
ROUGE-S1,2306,SYSTEM23.TXT,0.04762,0.04000,0.04348,1
ROUGE-S1,2306,SYSTEM123.TXT,0.04762,0.04000,0.04348,1
ROUGE-S1,2306,SYSTEM2.TXT,0.04762,0.04000,0.04348,1
ROUGE-S1,2306,SYSTEM12.TXT,0.04762,0.04000,0.04348,1
ROUGE-S1,2306,SYSTEM12U.TXT,0.07937,0.06410,0.07092,1
ROUGE-S1,2306,SYSTEM1.TXT,0.07937,0.04673,0.05882,1
ROUGE-S1,2306,SYSTEM3.TXT,0.09524,0.04800,0.06383,1

ROUGE-S1,3638,SYSTEM12U.TXT,0.52542,0.29245,0.37576,1
ROUGE-S1,3638,SYSTEM13.TXT,0.52542,0.29245,0.37576,1
ROUGE-S1,3638,SYSTEM1.TXT,0.33898,0.18519,0.23952,1
ROUGE-S1,3638,SYSTEM23U.TXT,0.52542,0.29245,0.37576,1
ROUGE-S1,3638,SYSTEM12.TXT,0.52542,0.29245,0.37576,1
