ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,3640,SYSTEM12U.TXT,0.38710,0.25532,0.30769,1
ROUGE-1,3640,SYSTEM123.TXT,0.38710,0.25532,0.30769,1
ROUGE-1,3640,SYSTEM23U.TXT,0.38710,0.25532,0.30769,1
ROUGE-1,3640,SYSTEM123U.TXT,0.38710,0.25532,0.30769,1
ROUGE-1,3640,SYSTEM12.TXT,0.38710,0.25532,0.30769,1
ROUGE-1,3640,SYSTEM2.TXT,0.38710,0.25532,0.30769,1
ROUGE-1,3640,SYSTEM1.TXT,0.61290,0.53521,0.57143,1
ROUGE-1,3640,SYSTEM13.TXT,0.61290,0.53521,0.57143,1
ROUGE-1,3640,SYSTEM23.TXT,0.38710,0.25532,0.30769,1
ROUGE-1,3640,SYSTEM3.TXT,0.88710,0.26066,0.40293,1
ROUGE-1,3640,SYSTEM13U.TXT,0.61290,0.53521,0.57143,1

ROUGE-1,2306,SYSTEM23U.TXT,0.28125,0.22500,0.25000,1
ROUGE-1,2306,SYSTEM13.TXT,0.39062,0.22936,0.28902,1
ROUGE-1,2306,SYSTEM13U.TXT,0.39062,0.22936,0.28902,1
ROUGE-1,2306,SYSTEM123U.TXT,0.28125,0.22500,0.25000,1
ROUGE-1,2306,SYSTEM23.TXT,0.31250,0.25974,0.28369,1
ROUGE-1,2306,SYSTEM123.TXT,0.31250,0.25974,0.28369,1
ROUGE-1,2306,SYSTEM2.TXT,0.31250,0.25974,0.28369,1
ROUGE-1,2306,SYSTEM12.TXT,0.31250,0.25974,0.28369,1
ROUGE-1,2306,SYSTEM12U.TXT,0.28125,0.22500,0.25000,1
ROUGE-1,2306,SYSTEM1.TXT,0.39062,0.22936,0.28902,1
ROUGE-1,2306,SYSTEM3.TXT,0.46875,0.23438,0.31250,1

ROUGE-1,3638,SYSTEM12U.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM13.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM1.TXT,0.60000,0.32727,0.42353,1
ROUGE-1,3638,SYSTEM23U.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM12.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM2.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM23.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM13U.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM3.TXT,0.55000,0.31731,0.40244,1
ROUGE-1,3638,SYSTEM123U.TXT,0.88333,0.49074,0.63095,1
ROUGE-1,3638,SYSTEM123.TXT,0.88333,0.49074,0.63095,1

ROUGE-1,3639,SYSTEM13U.TXT,0.53333,0.36364,0.43243,1
ROUGE-1,3639,SYSTEM1.TXT,0.36667,0.29333,0.32593,1
ROUGE-1,3639,SYSTEM12.TXT,0.36667,0.29333,0.32593,1
ROUGE-1,3639,SYSTEM123U.TXT,0.53333,0.36364,0.43243,1
ROUGE-1,3639,SYSTEM13.TXT,0.36667,0.29333,0.32593,1
ROUGE-1,3639,SYSTEM2.TXT,0.50000,0.26316,0.34483,1
ROUGE-1,3639,SYSTEM123.TXT,0.53333,0.36364,0.43243,1
ROUGE-1,3639,SYSTEM23U.TXT,0.53333,0.36364,0.43243,1
ROUGE-1,3639,SYSTEM3.TXT,0.83333,0.37037,0.51282,1
ROUGE-1,3639,SYSTEM23.TXT,0.53333,0.36364,0.43243,1
ROUGE-1,3639,SYSTEM12U.TXT,0.36667,0.29333,0.32593,1

ROUGE-1,2305,SYSTEM13U.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM123.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM3.TXT,0.63934,0.21196,0.31837,1
ROUGE-1,2305,SYSTEM12U.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM1.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM23.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM123U.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM2.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM13.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM23U.TXT,0.63934,0.27465,0.38424,1
ROUGE-1,2305,SYSTEM12.TXT,0.63934,0.27465,0.38424,1

ROUGE-1,2304,SYSTEM12U.TXT,0.72414,0.47727,0.57534,1
ROUGE-1,2304,SYSTEM23U.TXT,0.72414,0.47727,0.57534,1
ROUGE-1,2304,SYSTEM1.TXT,0.72414,0.47727,0.57534,1
ROUGE-1,2304,SYSTEM2.TXT,0.51724,0.37975,0.43796,1
ROUGE-1,2304,SYSTEM123.TXT,0.72414,0.47727,0.57534,1
ROUGE-1,2304,SYSTEM3.TXT,0.74138,0.37069,0.49425,1
ROUGE-1,2304,SYSTEM12.TXT,0.72414,0.47727,0.57534,1
ROUGE-1,2304,SYSTEM13U.TXT,0.72414,0.47727,0.57534,1
ROUGE-1,2304,SYSTEM23.TXT,0.51724,0.37975,0.43796,1
ROUGE-1,2304,SYSTEM13.TXT,0.72414,0.47727,0.57534,1
ROUGE-1,2304,SYSTEM123U.TXT,0.72414,0.47727,0.57534,1

ROUGE-1,2303,SYSTEM123U.TXT,0.71667,0.60563,0.65649,1
ROUGE-1,2303,SYSTEM3.TXT,0.93333,0.43750,0.59574,1
